,,,,,,,,,,,,,,,,,,
Summary,,,,,Flow Chức Năng,,,,,,,,,,,,,
Hạng mục,Nội dung,,,,Flow,Bước thao tác,Kết quả mong đợi,,,,,,,,,,,
Tên sản phẩm,CoinLineup,,,,Đọc tin từ Homepage,"Vào demo, xem latest/featured/most read, click bài viết.",Điều hướng sang trang chi tiết bài viết.,,,,,,,,,,,
Link demo,https://coinlineup-web.vercel.app/,,,,Xem chi tiết tin,Mở route article như /news/defi/1.,"Hiển thị tiêu đề, ảnh, nội dung bài và category.",,,,,,,,,,,
Mục tiêu MVP,"Website tin tức crypto có market ticker, danh mục bài viết, trang chi tiết tin, tìm kiếm bài viết, market data theo coin và SEO cơ bản.",,,,Duyệt category,Vào /news hoặc chọn nhóm category trên trang news.,Hiển thị danh sách bài theo nhóm nội dung.,,,,,,,,,,,
,,,,,Tìm kiếm bài viết,"Click icon search ở header, nhập keyword.",Cần bổ sung/confirm trang kết quả search rõ hơn.,,,,,,,,,,,
Scope MVP,,,,,Xem market,Mở /markets hoặc xem ticker/market section trên homepage.,"Hiển thị coin list, price, change 24h, top gainers/losers.",,,,,,,,,,,
Module,Mô tả,Route demo,Trạng thái,,,,,,,,,,,,,,,
Homepage,"Latest news, featured article, most read, market intelligence, live ticker.",/,Có,,,,,,,,,,,,,,,
News detail page,"Trang chi tiết bài viết, cover image, tiêu đề, nội dung, category.",/news/defi/1,Có,,Data API,,,,,,,,,,,,,
Search article,"Có icon search trên header, cần xác nhận page kết quả search.",Header search icon,Có,,Nhu cầu dữ liệu,Endpoint,,,,,,,,,,,,
Category page,"News listing và nhóm category như Bitcoin, Ethereum, Altcoins, Regulation.",/news,Có phần list,,Global market,https://api.coingecko.com/api/v3/global,,,,,,,,,,,,
Market list nhiều coin,"Danh sách market, top coin, top gainers/losers, biến động giá.",/markets,Có,,Market list 50 coin,https://api.coingecko.com/api/v3/coins/markets?vs_currency=usd&order=market_cap_desc&per_page=50&page=1&sparkline=true&price_change_percentage=24h,,,,,,,,,,,,
Chart theo coin,Sparkline/market chart từ CoinGecko cho danh sách coin.,Homepage / Markets,Có dữ liệu,,,,,,,,,,,,,,,
Admin CRUD bài viết,"Quản trị tạo/sửa/xóa bài viết, quản lý category, publish bài.",/admin,Chưa có ,,,,,,,,,,,,,,,
SEO cơ bản,"Title/meta, heading, URL slug, article/category route, cần audit Open Graph/canonical.",Toàn site,Có,,,,,,,,,,,,,,,
